プレイヤー名,平均順位,和了率,放銃率,和了率-放銃率,副露率,副露成功率,リーチ率,ダマ和了率,平均打点,平均放銃点,流局聴牌率,総ゲーム数,総局数,和了回数,放銃回数
東風のきゃぷさん,2.583,22.66,16.26,6.40,36.45,24.32,17.24,60.87,5328,4909,52.00,36,203,46,33
asmeias,2.583,17.99,10.46,7.53,35.98,26.74,15.06,60.47,5167,4664,33.33,24,239,43,25
ヒカル,2.583,15.70,11.57,4.13,29.75,18.06,17.36,42.11,8150,5029,34.21,24,242,38,28
豚の王,2.584,20.57,14.99,5.58,33.33,29.00,20.94,51.81,6162,4805,35.92,77,807,166,121
マーボウ,2.585,19.68,12.94,6.74,38.65,28.90,14.72,69.37,5549,5205,30.93,53,564,111,73
多摩ソージ,2.586,22.17,16.09,6.08,34.48,31.43,18.72,62.22,5287,5354,47.13,58,609,135,98
日曜日よりの使者,2.588,21.63,11.91,9.72,42.01,28.36,16.30,66.67,4441,3632,52.27,51,319,69,38
Gowo,2.588,18.28,15.36,2.93,38.39,21.90,17.55,53.00,6878,4658,42.22,51,547,100,84
赤毛のキョン,2.589,18.48,14.18,4.30,30.89,29.51,20.13,58.90,5494,4511,44.06,73,790,146,112
火霊夢,2.591,20.81,12.92,7.89,35.41,29.05,20.33,58.62,5690,5522,46.77,44,418,87,54
好きな食べ物は,2.591,25.10,15.23,9.88,38.27,31.18,16.87,60.66,4574,4384,39.13,22,243,61,37
ピンサロ店員,2.592,22.71,14.36,8.35,35.90,31.54,20.90,57.84,5674,5393,43.82,169,1713,389,246
hzc,2.593,20.18,13.21,6.96,35.54,29.15,17.32,65.49,5308,5370,40.43,54,560,113,74
英国売却,2.593,20.94,17.33,3.61,31.05,32.56,16.97,67.24,5698,4542,45.95,27,277,58,48
ゆうきー,2.595,18.22,11.33,6.89,38.00,25.73,15.78,58.54,5604,4412,38.24,42,450,82,51
まちゃ,2.596,19.96,12.55,7.41,30.04,24.68,19.20,49.52,6185,4938,44.09,52,526,105,66
てまち,2.596,17.31,12.46,4.85,28.80,24.16,17.48,55.14,6182,5070,34.62,57,618,107,77
理工フリテン大師,2.600,19.84,12.58,7.26,33.98,30.15,16.47,62.75,6097,5571,38.46,75,771,153,97
renkun,2.600,23.49,16.73,6.76,38.79,29.36,18.86,59.09,5562,5100,36.67,50,281,66,47
L×W×L,2.600,20.00,13.11,6.89,36.07,23.64,20.66,49.18,5508,5168,34.55,30,305,61,40
hayato☆,2.600,16.67,12.26,4.40,29.25,26.88,14.47,58.49,5736,4156,36.00,30,318,53,39
gokuaku,2.600,23.13,12.69,10.45,37.31,34.00,14.93,61.29,5068,6400,40.38,25,268,62,34
国見式ジャパン,2.600,20.30,13.91,6.39,31.58,29.76,16.92,50.00,7046,5024,51.52,25,266,54,37
冰淵,2.600,25.00,13.08,11.92,33.46,34.48,23.85,52.31,4908,5018,31.37,25,260,65,34
あんちょびーた改,2.600,15.91,11.82,4.09,30.45,20.90,16.36,57.14,5226,4296,48.84,20,220,35,26
おたまる,2.600,17.96,14.56,3.40,29.61,27.87,19.42,56.76,6651,4163,34.38,20,206,37,30
菜菜本cai,2.600,19.03,7.96,11.06,30.53,36.23,17.70,67.44,5160,4706,48.65,20,226,43,18
葉山陽和,2.602,19.11,9.19,9.93,37.17,24.15,16.37,54.70,5714,4786,36.57,88,947,181,87
くらら,2.605,20.59,12.61,7.98,34.80,26.64,20.21,54.61,5841,5101,40.10,124,1316,271,166
ラスるかな,2.606,18.14,12.22,5.92,34.12,24.24,18.61,55.96,5834,4765,37.91,99,1064,193,130
真一,2.606,22.15,13.76,8.39,36.24,38.89,17.79,72.73,4847,4849,40.74,33,298,66,41
天空の技,2.608,18.01,10.34,7.66,36.21,26.46,14.56,67.02,5209,4972,37.80,51,522,94,54
ruinever,2.609,21.28,11.49,9.79,34.04,26.25,22.98,48.00,5988,6033,42.22,23,235,50,27
グレンモーレンジ,2.609,24.47,10.97,13.50,32.49,35.06,20.25,60.34,5836,5723,43.75,23,237,58,26
七草香澄,2.611,18.68,12.89,5.79,32.76,26.10,19.21,54.23,6175,4311,40.34,72,760,142,98
mabui,2.611,21.34,12.34,9.00,35.22,28.47,15.68,63.86,5428,4806,50.88,36,389,83,48
Elysium,2.613,22.28,11.96,10.33,36.41,29.85,15.76,70.73,6122,6114,56.00,31,184,41,22
ウォルロット,2.614,17.76,14.80,2.96,38.90,25.00,16.70,55.95,5598,4444,37.65,44,473,84,70
漢壽亭侯,2.614,19.19,13.43,5.76,33.69,25.95,18.55,56.67,6274,4390,41.54,44,469,90,63
amethyst,2.614,17.25,13.64,3.60,28.96,21.78,18.53,53.73,6097,4786,46.09,70,777,134,106
キリンキリン,2.615,19.47,11.88,7.59,30.03,26.37,16.83,61.02,5746,5447,65.12,26,303,59,36
村井アマウリ,2.618,17.46,10.58,6.88,30.69,23.28,14.29,60.61,6391,3588,31.40,34,378,66,40
浮生之桜☆,2.619,20.67,15.87,4.81,33.17,24.64,20.19,55.81,5591,5309,39.29,21,208,43,33
ヨー・マイカ,2.621,20.78,12.27,8.52,41.06,24.48,15.84,64.75,5953,4954,48.81,58,587,122,72
つっぱりポール,2.621,19.16,13.17,5.99,44.31,21.62,15.57,71.88,5034,3682,54.17,29,167,32,22
ほっちゃん,2.621,20.78,12.06,8.73,35.10,26.26,14.51,64.15,5547,5685,43.87,95,1020,212,123
紗代,2.622,20.43,13.19,7.23,33.40,29.94,16.60,65.62,5496,5008,45.59,45,470,96,62
A石橋,2.625,21.45,17.11,4.34,36.39,27.81,21.93,56.18,5815,5062,54.17,40,415,89,71
armed,2.625,16.15,13.03,3.12,35.41,16.00,20.11,40.35,6675,5239,53.73,32,353,57,46
はよおじさん,2.626,19.24,13.35,5.88,40.38,24.41,14.79,61.16,4888,4892,53.41,107,629,121,84
ちゅうどく象さん,2.627,22.81,15.50,7.31,41.81,25.17,18.71,62.82,5608,4581,48.00,59,342,78,53
renji83,2.627,21.21,12.48,8.73,39.39,28.51,20.68,56.30,5581,4966,49.44,51,561,119,70
派遣のジャック,2.628,16.67,11.54,5.13,37.61,23.86,11.11,64.10,6744,4941,16.22,43,234,39,27
たがやす,2.628,17.25,11.75,5.50,32.25,31.01,14.50,68.12,5735,4953,41.94,43,400,69,47
t.o.o.s,2.629,18.75,11.14,7.61,27.45,32.67,21.74,63.77,5177,6749,43.55,35,368,69,41
ミスティコ,2.632,22.78,15.35,7.43,32.37,31.85,18.23,55.79,6099,5375,39.68,38,417,95,64
田中一郎。,2.633,19.82,13.52,6.30,35.94,27.78,17.82,60.47,5695,4451,42.45,60,651,129,88
ssk_free,2.636,22.73,11.11,11.62,31.82,26.98,19.70,55.56,5633,4923,37.14,22,198,45,22
耕すマシン,2.636,20.09,9.83,10.26,29.91,22.86,16.24,44.68,5623,6117,30.56,22,234,47,23
NO.Ⅰ,2.636,18.14,13.92,4.22,31.22,17.57,24.05,37.21,6640,4185,43.64,22,237,43,33
ドジャース,2.636,21.88,16.07,5.80,32.14,33.33,20.54,59.18,5465,4478,55.56,22,224,49,36
でんつう,2.636,19.83,15.19,4.64,29.11,34.78,18.57,59.57,6313,4811,36.59,22,237,47,36
ハンチョウ大槻,2.639,17.52,12.22,5.31,32.96,22.44,15.43,64.22,6321,5520,42.61,61,622,109,76
GhostU0,2.650,19.74,13.51,6.23,41.04,24.05,17.14,56.58,5293,5581,48.00,40,385,76,52
Kanako_,2.650,20.93,12.09,8.84,30.23,30.77,16.28,60.00,5793,5865,37.84,20,215,45,26
harddays,2.650,22.02,14.22,7.80,35.78,23.08,21.10,52.08,6171,5232,33.33,20,218,48,31
小宮畳店,2.650,20.41,12.24,8.16,32.65,26.56,16.33,60.00,5338,4183,55.56,20,196,40,24
やすまつ,2.651,20.00,12.10,7.90,31.81,29.16,21.81,53.99,5632,5037,42.79,129,1380,276,167
mato0603,2.651,20.09,12.95,7.14,33.71,31.79,16.29,66.67,5303,4921,37.18,43,448,90,58
山本惣一朗,2.652,18.81,12.59,6.22,31.82,25.78,20.93,50.38,5858,4847,48.65,66,707,133,89
あかりろん,2.652,17.39,12.17,5.22,35.65,25.61,16.96,65.00,4835,4821,31.43,23,230,40,28
ゼルダの伝説,2.653,20.56,14.58,5.98,44.67,27.20,12.71,73.64,4949,4768,34.25,95,535,110,78
No.0001,2.654,16.16,13.33,2.83,33.74,20.36,18.79,51.25,6180,5547,54.12,52,495,80,66
ヤマダさん,2.654,22.78,13.17,9.61,34.16,32.29,22.06,59.38,5488,6622,55.00,26,281,64,37
モイヒャン,2.655,21.59,11.96,9.63,28.24,38.82,15.61,58.46,5262,5417,34.78,29,301,65,36
ぼの,2.657,20.87,13.82,7.05,27.64,28.43,20.60,54.55,5669,4892,37.04,35,369,77,51
ターバン野口,2.657,20.27,11.34,8.93,42.96,31.20,19.93,69.49,5076,4527,51.11,35,291,59,33
くらげねこ,2.657,20.66,9.18,11.48,32.14,29.37,16.84,59.26,5595,5167,39.13,35,392,81,36
ekarute,2.667,20.17,15.65,4.52,31.91,26.05,21.76,49.70,5993,5155,42.45,84,818,165,128
t4c422,2.667,21.12,15.01,6.11,39.19,29.22,15.52,68.67,4831,5959,39.68,39,393,83,59
フルハウス777,2.667,20.47,12.76,7.72,41.25,25.90,16.32,65.22,6336,4684,38.46,33,337,69,43
ゴリパラ,2.667,18.15,13.39,4.76,33.63,23.01,17.56,54.10,7026,5173,39.66,33,336,61,45
TOR,2.667,20.88,17.58,3.30,26.92,34.69,23.08,50.00,4597,4850,33.33,27,182,38,32
斐浅,2.667,20.23,11.45,8.78,36.26,30.53,18.32,60.38,5891,4640,34.88,24,262,53,30
野々宮藍,2.667,20.28,13.68,6.60,34.43,24.66,17.45,46.51,5921,5445,30.30,24,212,43,29
すいませーん,2.671,19.30,9.21,10.09,35.31,29.19,12.50,65.91,4661,5364,41.18,76,456,88,42
mouw,2.673,20.13,13.31,6.82,36.44,24.66,21.46,54.55,5486,4965,43.75,55,601,121,80
怪しすぎるチー,2.674,21.26,10.24,11.02,44.09,28.57,16.93,66.67,4369,5504,60.00,43,254,54,26
ピンズカーター,2.676,22.09,12.79,9.30,35.17,33.06,20.93,61.84,5546,4936,47.17,34,344,76,44
pentola,2.676,19.40,14.48,4.92,35.52,29.23,18.58,69.01,6973,4455,45.00,34,366,71,53
いーはん,2.677,18.71,16.13,2.58,32.58,23.76,20.32,51.72,5390,4924,54.17,31,310,58,50
